product_type,etat,cost_price,country,tenant_id,stock_type,quantite
D100 Controller,Neuf,45800.0,Cameroun,6,multi_manager,8
D100 Controller,Neuf,45800.0,Cameroun,6,personal,53
D100 Controller,Neuf,45800.0,Senegal,1,multi_manager,1
Oolu TV Screen 24,Neuf,0.0,Senegal,1,multi_manager,3
Oolu TV Screen 24,Neuf,130760.0,Nigeria,3,multi_manager,18
Oolu TV Screen 24,Neuf,130760.0,Nigeria,3,personal,59
Oolu TV Screen 24,Neuf,262227.0,Cameroun,6,multi_manager,3
Oolu TV Screen 24,Neuf,278117.0,Cameroun,6,multi_manager,1
Oolu TV Screen 32,Neuf,137804.0,Nigeria,3,multi_manager,3
Oolu TV Screen 32,Neuf,278117.0,Cameroun,6,multi_manager,23
Oolu TV Screen 32,Neuf,278117.0,Cameroun,6,personal,3
PG TEST,Neuf,0.0,Senegal,1,multi_manager,5
PICO 40Wh Controller,Neuf,0.0,Senegal,1,multi_manager,2
Portable light component,Neuf,6844.78,Nigeria,3,multi_manager,27
Portable light component,Neuf,6844.78,Nigeria,3,personal,301
Portable light component,Neuf,9479.07,Nigeria,3,multi_manager,1
Portable light component,Neuf,9479.07,Nigeria,3,personal,7
Powerbank component,Neuf,0.0,Nigeria,3,multi_manager,2
Powerbank component,Neuf,0.0,Nigeria,3,personal,17
Powerhub 1280 component,Neuf,301232.0,Nigeria,3,multi_manager,43
Powerhub 1280 component,Neuf,301232.0,Nigeria,3,personal,20
Powerhub 500 component,Neuf,122901.62,Nigeria,3,personal,1
WowSolar Controller,Neuf,0.0,Mali,2,multi_manager,162
WowSolar Controller,Neuf,0.0,Mali,2,personal,63
WowSolar Controller,Neuf,0.0,Nigeria,3,multi_manager,440
WowSolar Controller,Neuf,0.0,Nigeria,3,personal,1089
WowSolar Controller,Neuf,0.0,Senegal,1,multi_manager,647
WowSolar Controller,Neuf,0.0,Senegal,1,personal,505
WowSolar Controller,Neuf,24472.68,Nigeria,3,personal,7
WowSolar Controller,Neuf,29514.0,Mali,2,multi_manager,2
WowSolar Controller,Neuf,29514.0,Mali,2,personal,13
WowSolar Controller,Neuf,29846.0,Burkina,4,multi_manager,6
WowSolar Controller,Neuf,29846.0,Burkina,4,personal,65
WowSolar Controller,Neuf,30024.9,Nigeria,3,personal,5
WowSolar Controller,Neuf,30265.81,Nigeria,3,multi_manager,1
WowSolar Controller,Neuf,30265.81,Nigeria,3,personal,1
WowSolar Controller,Neuf,30684.0,Mali,2,personal,1
WowSolar Controller,Neuf,31439.0,Senegal,1,multi_manager,1
WowSolar Controller,Neuf,31439.0,Senegal,1,personal,1
WowSolar Controller,Neuf,32216.0,Mali,2,multi_manager,998
WowSolar Controller,Neuf,32216.0,Mali,2,personal,514
WowSolar Controller,Neuf,34089.0,Niger,5,multi_manager,4
WowSolar Controller,Neuf,34089.0,Niger,5,personal,6
WowSolar Controller,Neuf,50801.0,Niger,5,multi_manager,374
WowSolar Controller,Neuf,50801.0,Niger,5,personal,38
WowSolar Controller,Neuf,111942.55,Nigeria,3,personal,9
WowSolar Controller,Neuf,145780.0,Mali,2,personal,6
WowSolar Controller,Neuf,146079.0,Burkina,4,personal,4
WowSolar Controller,Neuf,147047.0,Burkina,4,multi_manager,3
WowSolar Controller,Neuf,147047.0,Burkina,4,personal,3
WowSolar Controller,Neuf,147739.0,Mali,2,personal,2
WowSolar Controller,Neuf,152865.17,Nigeria,3,personal,2
WowSolar Controller,Neuf,158013.0,Burkina,4,personal,5
WowSolar Controller,Neuf,158013.0,Mali,2,multi_manager,74
WowSolar Controller,Neuf,158013.0,Mali,2,personal,121
WowSolar Controller,Neuf,158015.0,Burkina,4,multi_manager,1
WowSolar Controller,Neuf,158015.0,Burkina,4,personal,4
WowSolar Controller,Neuf,159616.0,Niger,5,multi_manager,44
WowSolar Controller,Neuf,159616.0,Niger,5,personal,11
WowSolar Controller,Neuf,164640.0,Burkina,4,multi_manager,2
WowSolar Controller,Neuf,164640.0,Burkina,4,personal,3
WowSolar Controller,Neuf,172932.0,Senegal,1,multi_manager,4
WowSolar Controller,Neuf,172932.0,Senegal,1,personal,7
WowSolar Controller,Neuf,207627.0,Burkina,4,personal,1
WowSolar Controller,Neuf,215182.0,Mali,2,personal,1
WowSolar Controller,Neuf,231771.0,Senegal,1,personal,1
WowSolar Controller,waste,29846.0,Burkina,4,multi_manager,1
WowSolar Controller,waste,31439.0,Senegal,1,multi_manager,10
WowSolar Controller,waste,33279.0,Burkina,4,multi_manager,1
WowSolar Controller,waste,35983.0,Senegal,1,multi_manager,7
WowSolar Controller,waste,50801.0,Niger,5,multi_manager,1
WowSolar Controller,waste,142394.0,Senegal,1,multi_manager,2
WowSolar Controller,waste,144532.0,Senegal,1,multi_manager,6
WowSolar Controller,waste,145874.0,Senegal,1,multi_manager,10
WowSolar Controller,waste,155305.6954,Senegal,1,multi_manager,2
WowSolar Controller,waste,158904.0,Senegal,1,multi_manager,3
WowSolar Controller,waste,159616.0,Niger,5,multi_manager,5
WowSolar Controller,waste,161304.0,Senegal,1,multi_manager,4
WowSolar Controller,waste,162983.0,Senegal,1,multi_manager,4
WowSolar Controller,waste,170734.0,Senegal,1,multi_manager,7
WowSolar Controller,waste,178179.0,Senegal,1,multi_manager,4
WowSolar Controller,waste,178412.0,Senegal,1,multi_manager,10
WowSolar Controller,waste,212961.0,Senegal,1,multi_manager,2
WowSolar Controller,waste,231771.0,Senegal,1,multi_manager,4
WowSolarTV32,waste,202629.0,Burkina,4,multi_manager,1
