product_type,etat,cost_price,stock_type,Quantite,Cout Total
SKH Controller,Endommagé,33435.0,multi_manager,394,13173390.0
SKH Controller,Endommagé,33435.0,personal,13,434655.0
SKH Controller,Endommagé,37707.0,multi_manager,416,15686112.0
SKH Controller,Endommagé,37707.47966,multi_manager,3775,142345735.71649998
SKH Controller,Endommagé,37707.47966,personal,36,1357469.26776
WowSolar Controller,Endommagé,0.0,multi_manager,13,0.0
WowSolar Controller,Endommagé,0.0,personal,2,0.0
WowSolar Controller,Endommagé,30358.0,multi_manager,26,789308.0
WowSolar Controller,Endommagé,30358.0,personal,9,273222.0
WowSolar Controller,Endommagé,31439.0,multi_manager,161,5061679.0
WowSolar Controller,Endommagé,31439.0,personal,7,220073.0
WowSolar Controller,Endommagé,142394.0,multi_manager,32,4556608.0
WowSolar Controller,Endommagé,142394.0,personal,2,284788.0
WowSolar Controller,Endommagé,144532.0,multi_manager,75,10839900.0
WowSolar Controller,Endommagé,144532.0,personal,2,289064.0
WowSolar Controller,Endommagé,145874.0,multi_manager,88,12836912.0
WowSolar Controller,Endommagé,145874.0,personal,1,145874.0
WowSolar Controller,Endommagé,155305.6954,multi_manager,54,8386507.5516
WowSolar Controller,Endommagé,155305.6954,personal,1,155305.6954
WowSolar Controller,Endommagé,156051.0,multi_manager,50,7802550.0
WowSolar Controller,Endommagé,156051.0,personal,2,312102.0
WowSolar Controller,Endommagé,158904.0,multi_manager,16,2542464.0
WowSolar Controller,Endommagé,158904.0,personal,2,317808.0
WowSolar Controller,Endommagé,161304.0,multi_manager,32,5161728.0
WowSolar Controller,Endommagé,162983.0,multi_manager,11,1792813.0
WowSolar Controller,Endommagé,162983.0,personal,3,488949.0
WowSolar Controller,Endommagé,165962.0,multi_manager,11,1825582.0
WowSolar Controller,Endommagé,165962.0,personal,2,331924.0
WowSolar Controller,Endommagé,168410.0,multi_manager,10,1684100.0
WowSolar Controller,Endommagé,168410.0,personal,2,336820.0
WowSolar Controller,Endommagé,178179.0,multi_manager,40,7127160.0
WowSolar Controller,Endommagé,197735.0,multi_manager,2,395470.0
WowSolar Controller,Endommagé,212961.0,multi_manager,4,851844.0
WowSolar Controller,Endommagé,218429.0,multi_manager,3,655287.0
WowSolar Controller,Endommagé,218429.0,personal,1,218429.0
WowSolar Controller,Endommagé,225710.0,multi_manager,1,225710.0
WowSolar Controller,Endommagé,225710.0,personal,2,451420.0
