product_type,etat,cost_price,stock_type,tenant_id,quantite,Cout Total
Hairclipper component,Endommagé,9148.0,multi_manager,2,1,9148.0
SKH Controller,Endommagé,0.0,multi_manager,2,27,0.0
SKH Controller,Endommagé,33435.0,multi_manager,2,9,300915.0
SKH Controller,Endommagé,33435.0,personal,2,1,33435.0
SKH Controller,Endommagé,37707.48,multi_manager,2,296,11161414.08
SKH Controller,Endommagé,37707.48,personal,2,38,1432884.24
WowSolar Controller,Endommagé,0.0,multi_manager,2,35,0.0
WowSolar Controller,Endommagé,0.0,personal,2,12,0.0
WowSolar Controller,Endommagé,29513.0,multi_manager,2,14,413182.0
WowSolar Controller,Endommagé,29513.0,personal,2,3,88539.0
WowSolar Controller,Endommagé,29514.0,multi_manager,2,147,4338558.0
WowSolar Controller,Endommagé,29514.0,personal,2,72,2125008.0
WowSolar Controller,Endommagé,30371.0,multi_manager,2,20,607420.0
WowSolar Controller,Endommagé,30371.0,personal,2,32,971872.0
WowSolar Controller,Endommagé,30684.0,multi_manager,2,309,9481356.0
WowSolar Controller,Endommagé,30684.0,personal,2,75,2301300.0
WowSolar Controller,Endommagé,33279.0,multi_manager,2,1,33279.0
WowSolar Controller,Endommagé,145780.0,multi_manager,2,7,1020460.0
WowSolar Controller,Endommagé,145780.0,personal,2,4,583120.0
WowSolar Controller,Endommagé,146447.0,multi_manager,2,74,10837078.0
WowSolar Controller,Endommagé,146447.0,personal,2,16,2343152.0
WowSolar Controller,Endommagé,147739.0,multi_manager,2,53,7830167.0
WowSolar Controller,Endommagé,147739.0,personal,2,30,4432170.0
WowSolar Controller,Endommagé,154578.0,multi_manager,2,1,154578.0
WowSolar Controller,Endommagé,154578.0,personal,2,3,463734.0
WowSolar Controller,Endommagé,158853.0,multi_manager,2,2,317706.0
WowSolar Controller,Endommagé,158853.0,personal,2,4,635412.0
WowSolar Controller,Endommagé,160777.0,multi_manager,2,23,3697871.0
WowSolar Controller,Endommagé,160777.0,personal,2,3,482331.0
WowSolar Controller,Endommagé,195374.0,multi_manager,2,8,1562992.0
WowSolar Controller,Endommagé,195374.0,personal,2,5,976870.0
WowSolar Controller,Endommagé,212894.0,multi_manager,2,3,638682.0
WowSolar Controller,Endommagé,212894.0,personal,2,5,1064470.0
WowSolar Controller,Endommagé,232926.0,multi_manager,2,8,1863408.0
WowSolar Controller,Endommagé,232926.0,personal,2,1,232926.0
