product_type,etat,cost_price,stock_type,tenant_id,quantite,Cout Total
Hairclipper component,Neuf,9148.0,personal,2,4,36592.0
Radio component,Neuf,8749.0,personal,2,7,61243.0
WowSolar Controller,Neuf,0.0,personal,2,3,0.0
WowSolar Controller,Neuf,29514.0,multi_manager,2,4,118056.0
WowSolar Controller,Neuf,29514.0,personal,2,14,413196.0
WowSolar Controller,Neuf,30371.0,multi_manager,2,1180,35837780.0
WowSolar Controller,Neuf,30371.0,personal,2,652,19801892.0
WowSolar Controller,Neuf,145780.0,personal,2,8,1166240.0
WowSolar Controller,Neuf,147739.0,multi_manager,2,1,147739.0
WowSolar Controller,Neuf,147739.0,personal,2,2,295478.0
WowSolar Controller,Neuf,154578.0,multi_manager,2,206,31843068.0
WowSolar Controller,Neuf,154578.0,personal,2,107,16539846.0
WowSolar Controller,Neuf,158853.0,multi_manager,2,1,158853.0
WowSolar Controller,Neuf,158853.0,personal,2,48,7624944.0
WowSolar Controller,Neuf,212894.0,personal,2,1,212894.0
