product_type,etat,cost_price,country,tenant_id,stock_type,quantite,Cout Total
SKH Controller,Endommagé,0.0,Mali,2,multi_manager,3,0.0
SKH Controller,Endommagé,33435.0,Mali,2,multi_manager,1,33435.0
SKH Controller,Endommagé,33435.0,Mali,2,personal,1,33435.0
SKH Controller,Endommagé,37707.0,Mali,2,multi_manager,28,1055796.0
SKH Controller,Endommagé,37707.0,Mali,2,personal,4,150828.0
SKH Controller,Endommagé,37707.47966,Mali,2,multi_manager,153,5769244.39
SKH Controller,Endommagé,37707.47966,Mali,2,personal,35,1319761.79
SKH Controller,Endommagé,38861.0,Mali,2,multi_manager,88,3419768.0
SKH Controller,Endommagé,38861.0,Mali,2,personal,1,38861.0
WowSolar Controller,Endommagé,0.0,Mali,2,multi_manager,3,0.0
WowSolar Controller,Endommagé,0.0,Mali,2,personal,2,0.0
WowSolar Controller,Endommagé,29513.0,Mali,2,multi_manager,1,29513.0
WowSolar Controller,Endommagé,29513.0,Mali,2,personal,1,29513.0
WowSolar Controller,Endommagé,29514.0,Mali,2,multi_manager,143,4220502.0
WowSolar Controller,Endommagé,29514.0,Mali,2,personal,51,1505214.0
WowSolar Controller,Endommagé,30684.0,Mali,2,multi_manager,337,10340508.0
WowSolar Controller,Endommagé,30684.0,Mali,2,personal,63,1933092.0
WowSolar Controller,Endommagé,32216.0,Mali,2,multi_manager,30,966480.0
WowSolar Controller,Endommagé,32216.0,Mali,2,personal,30,966480.0
WowSolar Controller,Endommagé,33279.0,Mali,2,multi_manager,1,33279.0
WowSolar Controller,Endommagé,145780.0,Mali,2,multi_manager,9,1312020.0
WowSolar Controller,Endommagé,145780.0,Mali,2,personal,4,583120.0
WowSolar Controller,Endommagé,146447.0,Mali,2,multi_manager,79,11569313.0
WowSolar Controller,Endommagé,146447.0,Mali,2,personal,17,2489599.0
WowSolar Controller,Endommagé,147739.0,Mali,2,multi_manager,48,7091472.0
WowSolar Controller,Endommagé,147739.0,Mali,2,personal,34,5023126.0
WowSolar Controller,Endommagé,158013.0,Mali,2,multi_manager,8,1264104.0
WowSolar Controller,Endommagé,158013.0,Mali,2,personal,6,948078.0
WowSolar Controller,Endommagé,160777.0,Mali,2,multi_manager,20,3215540.0
WowSolar Controller,Endommagé,160777.0,Mali,2,personal,3,482331.0
WowSolar Controller,Endommagé,195374.0,Mali,2,multi_manager,8,1562992.0
WowSolar Controller,Endommagé,195374.0,Mali,2,personal,6,1172244.0
WowSolar Controller,Endommagé,202629.0,Mali,2,multi_manager,1,202629.0
WowSolar Controller,Endommagé,215182.0,Mali,2,multi_manager,4,860728.0
WowSolar Controller,Endommagé,215182.0,Mali,2,personal,4,860728.0
WowSolar Controller,Endommagé,232926.0,Mali,2,multi_manager,6,1397556.0
