product_type,etat,cost_price,stock_type,tenant_id,quantite,Cout Total
SKH Controller,Endommagé,33435.0,multi_manager,1,413,13808655.0
SKH Controller,Endommagé,37707.0,multi_manager,1,416,15686112.0
SKH Controller,Endommagé,37707.48,multi_manager,1,3820,144042573.6
SKH Controller,Endommagé,37707.48,personal,1,16,603319.68
WowSolar Controller,Endommagé,0.0,multi_manager,1,14,0.0
WowSolar Controller,Endommagé,0.0,personal,1,2,0.0
WowSolar Controller,Endommagé,30358.0,multi_manager,1,31,941098.0
WowSolar Controller,Endommagé,30358.0,personal,1,12,364296.0
WowSolar Controller,Endommagé,31439.0,multi_manager,1,173,5438947.0
WowSolar Controller,Endommagé,31439.0,personal,1,2,62878.0
WowSolar Controller,Endommagé,142394.0,multi_manager,1,34,4841396.0
WowSolar Controller,Endommagé,142394.0,personal,1,3,427182.0
WowSolar Controller,Endommagé,144532.0,multi_manager,1,76,10984432.0
WowSolar Controller,Endommagé,144532.0,personal,1,1,144532.0
WowSolar Controller,Endommagé,145874.0,multi_manager,1,88,12836912.0
WowSolar Controller,Endommagé,145874.0,personal,1,1,145874.0
WowSolar Controller,Endommagé,155305.7,multi_manager,1,55,8541813.5
WowSolar Controller,Endommagé,155305.7,personal,1,1,155305.7
WowSolar Controller,Endommagé,156051.0,multi_manager,1,52,8114652.0
WowSolar Controller,Endommagé,156051.0,personal,1,1,156051.0
WowSolar Controller,Endommagé,158904.0,multi_manager,1,18,2860272.0
WowSolar Controller,Endommagé,161304.0,multi_manager,1,32,5161728.0
WowSolar Controller,Endommagé,162983.0,multi_manager,1,14,2281762.0
WowSolar Controller,Endommagé,162983.0,personal,1,1,162983.0
WowSolar Controller,Endommagé,165962.0,multi_manager,1,13,2157506.0
WowSolar Controller,Endommagé,165962.0,personal,1,4,663848.0
WowSolar Controller,Endommagé,168410.0,multi_manager,1,11,1852510.0
WowSolar Controller,Endommagé,168410.0,personal,1,3,505230.0
WowSolar Controller,Endommagé,178179.0,multi_manager,1,40,7127160.0
WowSolar Controller,Endommagé,178179.0,personal,1,2,356358.0
WowSolar Controller,Endommagé,197735.0,multi_manager,1,2,395470.0
WowSolar Controller,Endommagé,212961.0,multi_manager,1,4,851844.0
WowSolar Controller,Endommagé,218429.0,multi_manager,1,3,655287.0
WowSolar Controller,Endommagé,218429.0,personal,1,1,218429.0
WowSolar Controller,Endommagé,225710.0,multi_manager,1,1,225710.0
WowSolar Controller,Endommagé,225710.0,personal,1,2,451420.0
