product_type,etat,cost_price,country,tenant_id,stock_type,quantite,Cout Total
SKH Controller,Endommagé,0.0,Senegal,1,personal,1,0.0
SKH Controller,Endommagé,33435.0,Senegal,1,multi_manager,413,13808655.0
SKH Controller,Endommagé,33435.0,Senegal,1,personal,2,66870.0
SKH Controller,Endommagé,37707.0,Senegal,1,multi_manager,415,15648405.0
SKH Controller,Endommagé,37707.47966,Senegal,1,multi_manager,3897,146946048.24
SKH Controller,Endommagé,37707.47966,Senegal,1,personal,16,603319.67
SKH Controller,Endommagé,38861.0,Senegal,1,multi_manager,2,77722.0
WowSolar Controller,Endommagé,0.0,Senegal,1,multi_manager,9,0.0
WowSolar Controller,Endommagé,0.0,Senegal,1,personal,12,0.0
WowSolar Controller,Endommagé,31439.0,Senegal,1,multi_manager,122,3835558.0
WowSolar Controller,Endommagé,31439.0,Senegal,1,personal,11,345829.0
WowSolar Controller,Endommagé,35983.0,Senegal,1,multi_manager,20,719660.0
WowSolar Controller,Endommagé,35983.0,Senegal,1,personal,18,647694.0
WowSolar Controller,Endommagé,142394.0,Senegal,1,multi_manager,30,4271820.0
WowSolar Controller,Endommagé,142394.0,Senegal,1,personal,5,711970.0
WowSolar Controller,Endommagé,144532.0,Senegal,1,multi_manager,61,8816452.0
WowSolar Controller,Endommagé,144532.0,Senegal,1,personal,2,289064.0
WowSolar Controller,Endommagé,145874.0,Senegal,1,multi_manager,62,9044188.0
WowSolar Controller,Endommagé,145874.0,Senegal,1,personal,6,875244.0
WowSolar Controller,Endommagé,155305.6954,Senegal,1,multi_manager,50,7765284.77
WowSolar Controller,Endommagé,155305.6954,Senegal,1,personal,1,155305.7
WowSolar Controller,Endommagé,158904.0,Senegal,1,multi_manager,7,1112328.0
WowSolar Controller,Endommagé,158904.0,Senegal,1,personal,2,317808.0
WowSolar Controller,Endommagé,161304.0,Senegal,1,multi_manager,23,3709992.0
WowSolar Controller,Endommagé,161304.0,Senegal,1,personal,1,161304.0
WowSolar Controller,Endommagé,162983.0,Senegal,1,multi_manager,10,1629830.0
WowSolar Controller,Endommagé,162983.0,Senegal,1,personal,2,325966.0
WowSolar Controller,Endommagé,170734.0,Senegal,1,multi_manager,6,1024404.0
WowSolar Controller,Endommagé,170734.0,Senegal,1,personal,5,853670.0
WowSolar Controller,Endommagé,172932.0,Senegal,1,multi_manager,4,691728.0
WowSolar Controller,Endommagé,172932.0,Senegal,1,personal,5,864660.0
WowSolar Controller,Endommagé,178179.0,Senegal,1,multi_manager,31,5523549.0
WowSolar Controller,Endommagé,178179.0,Senegal,1,personal,6,1069074.0
WowSolar Controller,Endommagé,178412.0,Senegal,1,multi_manager,32,5709184.0
WowSolar Controller,Endommagé,178412.0,Senegal,1,personal,4,713648.0
WowSolar Controller,Endommagé,197735.0,Senegal,1,multi_manager,1,197735.0
WowSolar Controller,Endommagé,212961.0,Senegal,1,multi_manager,4,851844.0
WowSolar Controller,Endommagé,218429.0,Senegal,1,multi_manager,3,655287.0
WowSolar Controller,Endommagé,218429.0,Senegal,1,personal,1,218429.0
WowSolar Controller,Endommagé,231771.0,Senegal,1,multi_manager,8,1854168.0
WowSolar Controller,Endommagé,231771.0,Senegal,1,personal,7,1622397.0
